47
1270
1198
2858
858
527
1193
260
1196
165
296
648
318
1221
1
589
1210
50
2028
2571
457
1197
590
356
593
110
150
1214
2762
32
1097
"(47, 296)"
"(47, 593)"
"(1270, 1198)"
"(1270, 260)"
"(1270, 1196)"
"(1270, 1210)"
"(1198, 858)"
"(1198, 260)"
"(1198, 1196)"
"(1198, 589)"
"(1198, 1210)"
"(1198, 2571)"
"(2858, 260)"
"(2858, 1196)"
"(2858, 2571)"
"(858, 527)"
"(858, 260)"
"(858, 1196)"
"(858, 296)"
"(858, 318)"
"(858, 1221)"
"(858, 1210)"
"(858, 50)"
"(858, 2571)"
"(858, 593)"
"(527, 318)"
"(527, 1210)"
"(1193, 260)"
"(1193, 1196)"
"(1193, 296)"
"(1193, 318)"
"(1193, 589)"
"(1193, 1210)"
"(1193, 2571)"
"(1193, 356)"
"(1193, 593)"
"(260, 1196)"
"(260, 296)"
"(260, 318)"
"(260, 1221)"
"(260, 589)"
"(260, 1210)"
"(260, 50)"
"(260, 2571)"
"(260, 457)"
"(260, 356)"
"(260, 593)"
"(260, 2762)"
"(1196, 296)"
"(1196, 318)"
"(1196, 589)"
"(1196, 1210)"
"(1196, 2571)"
"(1196, 457)"
"(1196, 356)"
"(1196, 593)"
"(1196, 2762)"
"(296, 318)"
"(296, 1221)"
"(296, 589)"
"(296, 1210)"
"(296, 50)"
"(296, 2571)"
"(296, 457)"
"(296, 356)"
"(296, 593)"
"(648, 1210)"
"(318, 1210)"
"(318, 50)"
"(318, 2571)"
"(318, 457)"
"(318, 356)"
"(318, 593)"
"(318, 110)"
"(318, 150)"
"(1221, 2571)"
"(589, 1210)"
"(589, 2571)"
"(589, 457)"
"(589, 593)"
"(1210, 50)"
"(1210, 2571)"
"(1210, 457)"
"(1210, 356)"
"(1210, 593)"
"(50, 2571)"
"(50, 593)"
"(2571, 457)"
"(2571, 356)"
"(2571, 593)"
"(2571, 110)"
"(2571, 2762)"
"(457, 593)"
"(590, 356)"
"(356, 593)"
"(356, 110)"
"(356, 150)"
"(593, 110)"
"(50, 260, 296)"
"(50, 260, 1210)"
"(50, 296, 1210)"
"(260, 296, 593)"
"(260, 296, 858)"
"(260, 296, 1196)"
"(260, 296, 1210)"
"(260, 296, 1221)"
"(260, 296, 2571)"
"(260, 318, 356)"
"(260, 318, 1196)"
"(260, 318, 1210)"
"(260, 356, 1196)"
"(260, 356, 1210)"
"(260, 457, 1196)"
"(260, 457, 2571)"
"(260, 589, 1196)"
"(260, 589, 2571)"
"(260, 593, 1196)"
"(260, 593, 1210)"
"(260, 858, 1196)"
"(260, 858, 1198)"
"(260, 858, 1210)"
"(260, 858, 1221)"
"(260, 858, 2571)"
"(260, 1193, 1196)"
"(260, 1196, 1198)"
"(260, 1196, 1210)"
"(260, 1196, 2571)"
"(260, 1196, 2762)"
"(260, 1196, 2858)"
"(260, 1198, 1210)"
"(260, 1198, 2571)"
"(260, 1210, 2571)"
"(260, 2571, 2858)"
"(296, 318, 356)"
"(296, 318, 593)"
"(296, 356, 593)"
"(296, 457, 593)"
"(296, 593, 1210)"
"(296, 593, 2571)"
"(296, 858, 1210)"
"(296, 858, 1221)"
"(296, 858, 2571)"
"(296, 1196, 1210)"
"(296, 1210, 2571)"
"(296, 1221, 2571)"
"(318, 356, 593)"
"(318, 356, 1210)"
"(318, 356, 2571)"
"(318, 1196, 1210)"
"(356, 1196, 1210)"
"(356, 1210, 2571)"
"(527, 858, 1210)"
"(589, 1196, 2571)"
"(858, 1198, 1210)"
"(858, 1221, 2571)"
"(1196, 1198, 1210)"
"(1196, 1198, 1270)"
"(1196, 1198, 2571)"
"(1196, 1210, 2571)"
