userId,movieId,rating,timestamp
537,121129,2.5,1424317054
309,3171,4,1166068655
342,2428,2,1042822039
414,2103,2,961595149
441,10,4.5,1449070452
434,6365,2,1270604724
555,3638,5,978841817
597,610,4,941729029
217,1014,3,955943917
438,1100,4,1105649985
605,1197,5,1277175645
73,8360,2,1464197062
249,64497,3,1415415896
111,123200,4.5,1516468597
466,3825,4.5,1439915753
232,8622,4,1247190446
6,775,3,845556462
474,16,4,1088426731
454,7361,3.5,1284801946
212,65261,3.5,1490115730
323,22,3,1422640551
368,2668,3,971273912
275,1663,5,1049076972
111,6503,3.5,1516143939
222,68554,3,1391375809
104,4912,3,1048590967
235,736,4,841422634
19,2788,2,965705822
113,1018,3,980307261
140,5989,4,1055896017
610,78039,4,1493849501
552,3300,4,1112151374
62,5445,4,1521489745
376,1097,3.5,1364933310
298,1221,3.5,1450452223
606,48780,4,1171237202
99,160,2,829828005
567,138036,3,1525287186
4,1914,4,964622714
438,7361,4,1105653962
69,1193,5,1021642934
212,93838,4,1490115518
446,317,3,843839306
432,293,3.5,1335139434
514,593,5,1533871755
186,588,5,1031080921
414,521,3,961682233
469,1274,4,965335401
572,2321,3,979923864
608,2325,2.5,1117504095
608,500,2,1117408421
68,54281,3.5,1240092802
249,3686,3,1419369796
62,135518,3.5,1530471334
597,1938,4,940362491
156,357,3,946799495
599,2273,3,1498522144
177,3988,3.5,1435526145
79,1222,4,975281874
280,56367,4,1347605286
167,480,3.5,1154722006
139,8360,2,1453924194
240,196,4,849122483
19,2762,4,965710565
414,72378,2,1273977791
290,1,4,975031464
236,1997,5,943013896
200,46578,5,1229886335
232,69306,3.5,1269465778
70,72011,4.5,1355185183
564,63479,4,1478453985
596,44191,3.5,1535708699
247,48394,4,1467644464
10,49272,5,1455302162
571,1128,2,966900512
332,5226,2.5,1352673650
387,43904,2,1202222935
414,3951,5,997453431
232,2501,4,1076956577
274,36401,1,1171786341
309,5008,4.5,1166068369
432,72605,2.5,1335139387
