itemset,hypothesis,conclusion,rule,frequency,confidence,lift,interest,rule ID
"(50, 296)",50,296,50-->296,4.154327424400417,0.277359437751004,0.01631926503486182,-16.718469550778714,1
"(260, 1136)",1136,260,1136-->260,0.19395203336809178,0.5053763440860215,0.04140235041675164,-11.701088723692914,2
"(260, 1196)",1196,260,1196-->260,10.224191866527633,0.2691483936766956,0.022049659109512308,-11.93731667410224,3
"(260, 1197)",1197,260,1197-->260,0.4045881126173097,0.25257731958762886,0.020692093754018117,-11.953887748191306,4
"(260, 1210)",1210,260,1210-->260,6.692387904066736,0.2589591773138049,0.02121491978847932,-11.94750589046513,5
"(260, 1214)",1214,260,1214-->260,0.3034410844629823,0.32646048109965636,0.026744883083424778,-11.880004586679279,6
"(260, 1240)",1240,260,1240-->260,0.7153284671532847,0.27696793002915454,0.0226902652398735,-11.929497137749781,7
"(260, 1291)",1291,260,1291-->260,1.7122002085505734,0.25761266747868455,0.021104608586370963,-11.948852400300252,8
"(296, 608)",608,296,608-->296,2.3607924921793533,0.2760600706713781,0.016242812919433806,-16.719768917858342,9
"(296, 1089)",1089,296,1089-->296,0.4098018769551616,0.2748091603053435,0.016169211898449255,-16.721019828224378,10
"(296, 1213)",1213,296,1213-->296,0.4035453597497393,0.2713178294573643,0.01596378909439919,-16.724511159072357,11
"(296, 2329)",2329,296,2329-->296,0.42022940563086547,0.26054590570719605,0.015329991016209644,-16.735283082822523,12
"(296, 32)",32,296,32-->296,1.670490093847758,0.25530586766541824,0.015021677838587403,-16.740523120864303,13
"(296, 293)",293,296,293-->296,0.3034410844629823,0.34364261168384874,0.020219232137236084,-16.652186376845872,14
"(296, 1221)",1221,296,1221-->296,0.2210636079249218,0.43396226415094336,0.025533456734815305,-16.561866724378778,15
"(356, 367)",367,356,367-->356,0.10010427528675704,1.0,0.048419670806826215,-19.65276329509906,16
"(356, 457)",457,356,457-->356,3.545359749739312,0.2520588235294118,0.012204605259250021,-20.400704471569647,17
"(356, 480)",480,356,480-->356,7.7205422314911365,0.27147487844408424,0.013144724246585722,-20.381288416654975,18
"(356, 500)",500,356,500-->356,0.21480709071949947,0.5485436893203883,0.02656030486005516,-20.10421960577867,19
"(356, 590)",590,356,590-->356,1.407716371220021,0.37703703703703706,0.018256009215314478,-20.275726258062022,20
"(356, 1265)",1265,356,1265-->356,0.42022940563086547,0.26302729528535984,0.012735695050926997,-20.389735999813702,21
"(356, 588)",588,356,588-->356,1.9301355578727841,0.277687736358725,0.013445548781582212,-20.375075558740335,22
"(356, 595)",595,356,595-->356,0.4337851929092805,0.2620192307692307,0.012686884898903983,-20.39074406432983,23
"(356, 150)",150,356,150-->356,2.508863399374348,0.3636741479634248,0.017608982525342036,-20.289089147135634,24
"(356, 364)",364,356,364-->356,1.5036496350364963,0.35991678224687934,0.017427052114246052,-20.29284651285218,25
"(356, 597)",597,356,597-->356,0.11157455683003129,1.0,0.048419670806826215,-19.65276329509906,26
"(356, 10)",10,356,10-->356,0.10010427528675704,1.0,0.048419670806826215,-19.65276329509906,27
"(356, 165)",165,356,165-->356,0.10218978102189781,1.0,0.048419670806826215,-19.65276329509906,28
"(356, 4886)",4886,356,4886-->356,0.291970802919708,0.32857142857142857,0.015909320407957186,-20.32419186652763,29
"(356, 4995)",4995,356,4995-->356,0.09801876955161627,1.0,0.048419670806826215,-19.65276329509906,30
"(480, 500)",500,480,500-->480,0.21480709071949947,0.4514563106796117,0.05847468961936084,-7.269085920811524,31
"(527, 318)",527,318,527-->318,3.1981230448383733,0.25758069775024456,0.015428136227748704,-16.437935464919203,32
"(1089, 2571)",1089,2571,1089-->2571,0.4098018769551616,0.2544529262086514,0.015106813361858274,-16.58913414365579,33
"(1196, 1197)",1197,1196,1197-->1196,0.4045881126173097,0.25257731958762886,0.024703890819432542,-9.971614546940003,34
"(1196, 1036)",1036,1196,1036-->1196,0.8039624608967675,0.251621271076524,0.024610382352104693,-9.97257059545111,35
"(1197, 1198)",1197,1198,1197-->1198,0.4045881126173097,0.25,0.04683531939831998,-5.087851929092805,36
"(1240, 589)",1240,589,1240-->589,0.7153284671532847,0.2900874635568513,0.04229798959267453,-6.568098146453576,37
"(2028, 2571)",2028,2571,2028-->2571,3.7153284671532845,0.3213584058377772,0.019078976734874534,-16.522228664026663,38
"(2329, 2959)",2329,2959,2329-->2959,0.42022940563086547,0.25558312655086846,0.031852400047080294,-7.768400189403251,39
