itemset,hypothesis,conclusion,rule,frequency,confidence,lift,interest,rule ID
"(50, 593)",50,593,50-->593,0.3448275862068966,1.0,0.6823529411764706,-0.4655172413793103,1
"(50, 593)",593,50,593-->50,1.4655172413793103,0.23529411764705885,0.6823529411764706,-0.10953346855983773,2
"(110, 356)",110,356,110-->356,0.6896551724137931,0.5,0.25217391304347825,-1.4827586206896552,3
"(110, 318)",110,318,110-->318,0.6896551724137931,0.5,0.25,-1.5,4
"(260, 1196)",260,1196,260-->1196,3.3620689655172415,0.5025641025641026,0.15261108873674317,-2.7905393457117595,5
"(260, 1196)",1196,260,1196-->260,3.293103448275862,0.5130890052356021,0.15261108873674317,-2.8489799602816395,6
"(260, 1198)",260,1198,260-->1198,3.3620689655172415,0.22564102564102562,0.12006586685485766,-1.6536693191865606,7
"(260, 1198)",1198,260,1198-->260,1.8793103448275863,0.40366972477064217,0.12006586685485766,-2.9583992407465995,8
"(260, 1210)",260,1210,260-->1210,3.3620689655172415,0.3743589743589743,0.11736659736659735,-2.815296198054819,9
"(260, 1210)",1210,260,1210-->260,3.189655172413793,0.39459459459459456,0.11736659736659735,-2.967474370922647,10
"(260, 2571)",260,2571,260-->2571,3.3620689655172415,0.35384615384615387,0.10159939070830161,-3.1289124668435013,11
"(260, 2571)",2571,260,2571-->260,3.4827586206896552,0.3415841584158416,0.1015993907083016,-3.0204848071014,12
"(356, 593)",356,593,356-->593,1.9827586206896552,0.2,0.13647058823529412,-1.2655172413793103,13
"(356, 593)",593,356,593-->356,1.4655172413793103,0.2705882352941177,0.13647058823529412,-1.7121703853955377,14
"(356, 318)",318,356,318-->356,2.0,0.25862068965517243,0.13043478260869565,-1.7241379310344829,15
"(527, 318)",527,318,527-->318,0.3620689655172414,1.0,0.5,-1.0,16
"(593, 296)",593,296,593-->296,1.4655172413793103,0.23529411764705885,0.3173734610123119,-0.5060851926977687,17
"(593, 296)",296,593,296-->593,0.7413793103448276,0.46511627906976744,0.3173734610123119,-1.000400962309543,18
"(1196, 1198)",1196,1198,1196-->1198,3.293103448275862,0.23036649214659685,0.12258033527066621,-1.6489438526809894,19
"(1196, 1198)",1198,1196,1198-->1196,1.8793103448275863,0.40366972477064217,0.12258033527066621,-2.88943372350522,20
"(1196, 1210)",1196,1210,1196-->1210,3.293103448275862,0.36649214659685864,0.11490024055469081,-2.8231630258169345,21
"(2028, 2571)",2028,2571,2028-->2571,0.3448275862068966,1.0,0.2871287128712871,-2.4827586206896552,22
"(260, 1196, 1198)","(260, 1196)",1198,"(260, 1196)-->1198",1.6896551724137931,0.21428571428571427,0.11402359108781127,-1.665024630541872,23
"(260, 1196, 1198)","(260, 1198)",1196,"(260, 1198)-->1196",0.7586206896551724,0.4772727272727273,0.14493098524512138,-2.8158307210031346,24
"(260, 1196, 1198)","(1196, 1198)",260,"(1196, 1198)-->260",0.7586206896551724,0.4772727272727273,0.14195804195804196,-2.8847962382445145,25
"(260, 1196, 1210)","(260, 1210)",1196,"(260, 1210)-->1196",1.2586206896551724,0.3287671232876712,0.09983504267374309,-2.964336324988191,26
"(260, 1196, 1210)","(1196, 1210)",260,"(1196, 1210)-->260",1.206896551724138,0.34285714285714286,0.10197802197802197,-3.0192118226600986,27
"(260, 1196, 2571)","(260, 2571)",1196,"(260, 2571)-->1196",1.1896551724137931,0.3188405797101449,0.09682069959784505,-2.974262868565717,28
"(260, 1196, 2571)","(1196, 2571)",260,"(1196, 2571)-->260",1.1551724137931034,0.3283582089552239,0.09766551856104094,-3.0337107565620176,29
"(260, 1210, 2571)","(1210, 2571)",260,"(1210, 2571)-->260",1.1724137931034482,0.3235294117647059,0.0962292609351433,-3.0385395537525355,30
